key,pk,protein,ligand
bayer_macrocycles_ftase_extraligs_custcore_stereo_lig_2_deprot,9.132754239511838,bayer_macrocycles/ftase_extraligs_custcore_stereo_protein.pdb,bayer_macrocycles/split_sdf/bayer_macrocycles_ftase_extraligs_custcore_stereo_lig_2_deprot.sdf
bayer_macrocycles_ftase_extraligs_custcore_stereo_lig_66_deprot,9.044444047968268,bayer_macrocycles/ftase_extraligs_custcore_stereo_protein.pdb,bayer_macrocycles/split_sdf/bayer_macrocycles_ftase_extraligs_custcore_stereo_lig_66_deprot.sdf
bayer_macrocycles_ftase_extraligs_custcore_stereo_lig_68_deprot,8.911978409739405,bayer_macrocycles/ftase_extraligs_custcore_stereo_protein.pdb,bayer_macrocycles/split_sdf/bayer_macrocycles_ftase_extraligs_custcore_stereo_lig_68_deprot.sdf
bayer_macrocycles_ftase_extraligs_custcore_stereo_lig_51_stereo,8.38947591673635,bayer_macrocycles/ftase_extraligs_custcore_stereo_protein.pdb,bayer_macrocycles/split_sdf/bayer_macrocycles_ftase_extraligs_custcore_stereo_lig_51_stereo.sdf
bayer_macrocycles_ftase_extraligs_custcore_stereo_lig_49_stereo,8.536660271135986,bayer_macrocycles/ftase_extraligs_custcore_stereo_protein.pdb,bayer_macrocycles/split_sdf/bayer_macrocycles_ftase_extraligs_custcore_stereo_lig_49_stereo.sdf
bayer_macrocycles_wagner_brd4_61a,8.83102757628122,bayer_macrocycles/wagner_brd4_protein.pdb,bayer_macrocycles/split_sdf/bayer_macrocycles_wagner_brd4_61a.sdf
bayer_macrocycles_wagner_brd4_25e,8.31588444136355,bayer_macrocycles/wagner_brd4_protein.pdb,bayer_macrocycles/split_sdf/bayer_macrocycles_wagner_brd4_25e.sdf
bayer_macrocycles_wagner_brd4_11,6.0345353700934306,bayer_macrocycles/wagner_brd4_protein.pdb,bayer_macrocycles/split_sdf/bayer_macrocycles_wagner_brd4_11.sdf
charge_annhil_cdk2_39neu,6.1596416502369085,charge_annhil/cdk2_protein.pdb,charge_annhil/split_sdf/charge_annhil_cdk2_39neu.sdf
charge_annhil_cdk2_39charg,6.1596416502369085,charge_annhil/cdk2_protein.pdb,charge_annhil/split_sdf/charge_annhil_cdk2_39charg.sdf
charge_annhil_cdk2_34,7.270879455357446,charge_annhil/cdk2_protein.pdb,charge_annhil/split_sdf/charge_annhil_cdk2_34.sdf
charge_annhil_cdk2_25,7.234083366757539,charge_annhil/cdk2_protein.pdb,charge_annhil/split_sdf/charge_annhil_cdk2_25.sdf
charge_annhil_dlk_9,6.42457222486762,charge_annhil/dlk_protein.pdb,charge_annhil/split_sdf/charge_annhil_dlk_9.sdf
charge_annhil_dlk_17charg,7.682993682560775,charge_annhil/dlk_protein.pdb,charge_annhil/split_sdf/charge_annhil_dlk_17charg.sdf
charge_annhil_dlk_17neu,7.682993682560775,charge_annhil/dlk_protein.pdb,charge_annhil/split_sdf/charge_annhil_dlk_17neu.sdf
charge_annhil_dlk_4charg,6.866123884412488,charge_annhil/dlk_protein.pdb,charge_annhil/split_sdf/charge_annhil_dlk_4charg.sdf
charge_annhil_dlk_4neu,6.866123884412488,charge_annhil/dlk_protein.pdb,charge_annhil/split_sdf/charge_annhil_dlk_4neu.sdf
charge_annhil_dlk_18,7.344470930730247,charge_annhil/dlk_protein.pdb,charge_annhil/split_sdf/charge_annhil_dlk_18.sdf
charge_annhil_dlk_8,7.7345084873314525,charge_annhil/dlk_protein.pdb,charge_annhil/split_sdf/charge_annhil_dlk_8.sdf
charge_annhil_egfr_21,7.2708793711382045,charge_annhil/egfr_protein.pdb,charge_annhil/split_sdf/charge_annhil_egfr_21.sdf
charge_annhil_egfr_27neu,7.31503450901961,charge_annhil/egfr_protein.pdb,charge_annhil/split_sdf/charge_annhil_egfr_27neu.sdf
charge_annhil_egfr_27chargR,7.31503450901961,charge_annhil/egfr_protein.pdb,charge_annhil/split_sdf/charge_annhil_egfr_27chargR.sdf
charge_annhil_egfr_27chargS,7.31503450901961,charge_annhil/egfr_protein.pdb,charge_annhil/split_sdf/charge_annhil_egfr_27chargS.sdf
charge_annhil_egfr_28neu,7.874332922184087,charge_annhil/egfr_protein.pdb,charge_annhil/split_sdf/charge_annhil_egfr_28neu.sdf
charge_annhil_egfr_28charg,7.874332922184087,charge_annhil/egfr_protein.pdb,charge_annhil/split_sdf/charge_annhil_egfr_28charg.sdf
charge_annhil_egfr_29neu,7.697712370658463,charge_annhil/egfr_protein.pdb,charge_annhil/split_sdf/charge_annhil_egfr_29neu.sdf
charge_annhil_egfr_29charg,7.697712370658463,charge_annhil/egfr_protein.pdb,charge_annhil/split_sdf/charge_annhil_egfr_29charg.sdf
charge_annhil_egfr_30neu,8.279088352763644,charge_annhil/egfr_protein.pdb,charge_annhil/split_sdf/charge_annhil_egfr_30neu.sdf
charge_annhil_egfr_30charg,8.279088352763644,charge_annhil/egfr_protein.pdb,charge_annhil/split_sdf/charge_annhil_egfr_30charg.sdf
charge_annhil_ephx2_47charg,8.279088352763644,charge_annhil/ephx2_protein.pdb,charge_annhil/split_sdf/charge_annhil_ephx2_47charg.sdf
charge_annhil_ephx2_19charg,6.063972100607954,charge_annhil/ephx2_protein.pdb,charge_annhil/split_sdf/charge_annhil_ephx2_19charg.sdf
charge_annhil_ephx2_19neu,6.063972100607954,charge_annhil/ephx2_protein.pdb,charge_annhil/split_sdf/charge_annhil_ephx2_19neu.sdf
charge_annhil_ephx2_20,6.7262995899252545,charge_annhil/ephx2_protein.pdb,charge_annhil/split_sdf/charge_annhil_ephx2_20.sdf
charge_annhil_ephx2_47neu,8.279088352763644,charge_annhil/ephx2_protein.pdb,charge_annhil/split_sdf/charge_annhil_ephx2_47neu.sdf
